from_utc,to_utc,forecast_gco2_per_kwh,actual_gco2_per_kwh,index_label
2025-08-24 01:00:00+00:00,2025-08-24 01:30:00+00:00,180,174,moderate
2025-08-24 01:30:00+00:00,2025-08-24 02:00:00+00:00,174,174,moderate
2025-08-24 02:00:00+00:00,2025-08-24 02:30:00+00:00,179,172,moderate
2025-08-24 02:30:00+00:00,2025-08-24 03:00:00+00:00,177,173,moderate
2025-08-24 03:00:00+00:00,2025-08-24 03:30:00+00:00,177,171,moderate
2025-08-24 03:30:00+00:00,2025-08-24 04:00:00+00:00,178,168,moderate
2025-08-24 04:00:00+00:00,2025-08-24 04:30:00+00:00,178,170,moderate
2025-08-24 04:30:00+00:00,2025-08-24 05:00:00+00:00,178,169,moderate
2025-08-24 05:00:00+00:00,2025-08-24 05:30:00+00:00,177,169,moderate
2025-08-24 05:30:00+00:00,2025-08-24 06:00:00+00:00,174,174,moderate
2025-08-24 06:00:00+00:00,2025-08-24 06:30:00+00:00,180,169,moderate
2025-08-24 06:30:00+00:00,2025-08-24 07:00:00+00:00,183,171,moderate
2025-08-24 07:00:00+00:00,2025-08-24 07:30:00+00:00,185,163,moderate
2025-08-24 07:30:00+00:00,2025-08-24 08:00:00+00:00,169,157,moderate
2025-08-24 08:00:00+00:00,2025-08-24 08:30:00+00:00,161,147,moderate
2025-08-24 08:30:00+00:00,2025-08-24 09:00:00+00:00,151,136,moderate
2025-08-24 09:00:00+00:00,2025-08-24 09:30:00+00:00,142,128,moderate
2025-08-24 09:30:00+00:00,2025-08-24 10:00:00+00:00,129,120,moderate
2025-08-24 10:00:00+00:00,2025-08-24 10:30:00+00:00,121,114,moderate
2025-08-24 10:30:00+00:00,2025-08-24 11:00:00+00:00,117,110,moderate
2025-08-24 11:00:00+00:00,2025-08-24 11:30:00+00:00,117,107,moderate
2025-08-24 11:30:00+00:00,2025-08-24 12:00:00+00:00,110,108,moderate
2025-08-24 12:00:00+00:00,2025-08-24 12:30:00+00:00,107,112,moderate
2025-08-24 12:30:00+00:00,2025-08-24 13:00:00+00:00,108,115,moderate
2025-08-24 13:00:00+00:00,2025-08-24 13:30:00+00:00,114,118,moderate
2025-08-24 13:30:00+00:00,2025-08-24 14:00:00+00:00,115,120,moderate
2025-08-24 14:00:00+00:00,2025-08-24 14:30:00+00:00,124,121,moderate
2025-08-24 14:30:00+00:00,2025-08-24 15:00:00+00:00,133,132,moderate
2025-08-24 15:00:00+00:00,2025-08-24 15:30:00+00:00,126,143,moderate
2025-08-24 15:30:00+00:00,2025-08-24 16:00:00+00:00,146,156,moderate
2025-08-24 16:00:00+00:00,2025-08-24 16:30:00+00:00,151,165,moderate
2025-08-24 16:30:00+00:00,2025-08-24 17:00:00+00:00,172,169,moderate
2025-08-24 17:00:00+00:00,2025-08-24 17:30:00+00:00,171,175,moderate
2025-08-24 17:30:00+00:00,2025-08-24 18:00:00+00:00,175,177,moderate
2025-08-24 18:00:00+00:00,2025-08-24 18:30:00+00:00,188,182,high
2025-08-24 18:30:00+00:00,2025-08-24 19:00:00+00:00,185,185,high
2025-08-24 19:00:00+00:00,2025-08-24 19:30:00+00:00,190,183,high
2025-08-24 19:30:00+00:00,2025-08-24 20:00:00+00:00,189,189,high
